Classification 1. Cluster 1: 557.0. Cluster 2: 665.0....	 Accuracy: 0.9517184942716858
Classification 2. Cluster 1: 664.0. Cluster 2: 558.0....	 Accuracy: 0.9525368248772504
Classification 3. Cluster 1: 670.0. Cluster 2: 552.0....	 Accuracy: 0.9509001636661211
Classification 4. Cluster 1: 558.0. Cluster 2: 664.0....	 Accuracy: 0.9509001636661211
Classification 5. Cluster 1: 667.0. Cluster 2: 555.0....	 Accuracy: 0.9517184942716858
Classification 6. Cluster 1: 668.0. Cluster 2: 554.0....	 Accuracy: 0.9492635024549918
Classification 7. Cluster 1: 555.0. Cluster 2: 667.0....	 Accuracy: 0.9517184942716858
Classification 8. Cluster 1: 668.0. Cluster 2: 554.0....	 Accuracy: 0.9492635024549918
Classification 9. Cluster 1: 668.0. Cluster 2: 554.0....	 Accuracy: 0.9492635024549918
Classification 10. Cluster 1: 663.0. Cluster 2: 559.0....	 Accuracy: 0.9517184942716858
Classification 11. Cluster 1: 555.0. Cluster 2: 667.0....	 Accuracy: 0.9500818330605565
Classification 12. Cluster 1: 667.0. Cluster 2: 555.0....	 Accuracy: 0.9500818330605565
Classification 13. Cluster 1: 665.0. Cluster 2: 557.0....	 Accuracy: 0.9517184942716858
Classification 14. Cluster 1: 671.0. Cluster 2: 551.0....	 Accuracy: 0.9468085106382979
Classification 15. Cluster 1: 669.0. Cluster 2: 553.0....	 Accuracy: 0.9517184942716858
Classification 16. Cluster 1: 664.0. Cluster 2: 558.0....	 Accuracy: 0.9509001636661211
Classification 17. Cluster 1: 549.0. Cluster 2: 673.0....	 Accuracy: 0.9484451718494271
Classification 18. Cluster 1: 554.0. Cluster 2: 668.0....	 Accuracy: 0.9509001636661211
Classification 19. Cluster 1: 550.0. Cluster 2: 672.0....	 Accuracy: 0.9492635024549918
Classification 20. Cluster 1: 551.0. Cluster 2: 671.0....	 Accuracy: 0.9484451718494271
Classification 21. Cluster 1: 553.0. Cluster 2: 669.0....	 Accuracy: 0.9500818330605565
Classification 22. Cluster 1: 549.0. Cluster 2: 673.0....	 Accuracy: 0.9484451718494271
Classification 23. Cluster 1: 667.0. Cluster 2: 555.0....	 Accuracy: 0.9484451718494271
Classification 24. Cluster 1: 548.0. Cluster 2: 674.0....	 Accuracy: 0.9476268412438625
Classification 25. Cluster 1: 667.0. Cluster 2: 555.0....	 Accuracy: 0.9484451718494271
Classification 27. Cluster 1: 669.0. Cluster 2: 553.0....	 Accuracy: 0.9484451718494271
Classification 28. Cluster 1: 553.0. Cluster 2: 669.0....	 Accuracy: 0.9468085106382979
Classification 29. Cluster 1: 667.0. Cluster 2: 555.0....	 Accuracy: 0.9517184942716858
Classification 30. Cluster 1: 667.0. Cluster 2: 555.0....	 Accuracy: 0.9500818330605565
Classification 31. Cluster 1: 666.0. Cluster 2: 556.0....	 Accuracy: 0.9525368248772504
Classification 32. Cluster 1: 559.0. Cluster 2: 663.0....	 Accuracy: 0.9484451718494271
Classification 33. Cluster 1: 555.0. Cluster 2: 667.0....	 Accuracy: 0.9517184942716858
Classification 34. Cluster 1: 556.0. Cluster 2: 666.0....	 Accuracy: 0.9509001636661211
Classification 35. Cluster 1: 670.0. Cluster 2: 552.0....	 Accuracy: 0.9492635024549918
Classification 36. Cluster 1: 664.0. Cluster 2: 558.0....	 Accuracy: 0.9525368248772504
Classification 37. Cluster 1: 554.0. Cluster 2: 668.0....	 Accuracy: 0.9492635024549918
Classification 38. Cluster 1: 556.0. Cluster 2: 666.0....	 Accuracy: 0.9525368248772504
Classification 39. Cluster 1: 667.0. Cluster 2: 555.0....	 Accuracy: 0.9500818330605565
Classification 40. Cluster 1: 553.0. Cluster 2: 669.0....	 Accuracy: 0.9500818330605565
Classification 41. Cluster 1: 555.0. Cluster 2: 667.0....	 Accuracy: 0.9517184942716858
Classification 42. Cluster 1: 558.0. Cluster 2: 664.0....	 Accuracy: 0.9525368248772504
Classification 43. Cluster 1: 673.0. Cluster 2: 549.0....	 Accuracy: 0.9484451718494271
Classification 44. Cluster 1: 554.0. Cluster 2: 668.0....	 Accuracy: 0.9509001636661211
Classification 45. Cluster 1: 552.0. Cluster 2: 670.0....	 Accuracy: 0.9492635024549918
